fecha,pais,superficie,idprovincia,municipio,causa,causa_supuesta,time_ctrl,time_ext,personal,medios,tipo,predicted_cluster
2011-03-22,spain,1.5,Ourense,RIÓS,intencionado,1.0,142,160,6,1,incendio,1
2003-09-12,spain,1.0,Ourense,CASTRELO DO VAL,intencionado,1.0,55,130,43,7,conato,1
2014-08-02,spain,1.06,Sevilla,"PUEBLA DEL RÍO, LA",intencionado,1.0,1085,1085,37,6,incendio,1
2001-04-14,spain,4.0,Asturias,ALLANDE,intencionado,1.0,0,2,4,0,incendio,1
2003-09-05,spain,1.0,Badajoz,OLIVA DE MÉRIDA,intencionado,1.0,60,270,13,0,conato,1
2004-02-18,spain,7.0,"Coruña, A",ZAS,intencionado,1.0,270,315,10,2,incendio,1
2012-03-14,spain,1.2,Zamora,PEDRALBA DE LA PRADERIA,intencionado,0.0,110,130,5,2,incendio,1
2010-05-17,spain,15.26,Asturias,QUIRÓS,intencionado,0.0,0,277,3,0,incendio,1
2011-06-24,spain,1.31,"Coruña, A",VALDOVIÑO,accidente,1.0,94,320,6,2,incendio,1
2008-02-22,spain,1.0,Cantabria,LIENDO,intencionado,1.0,79,124,8,0,conato,1
2004-02-05,spain,10.0,Asturias,CANGAS DEL NARCEA,accidente,1.0,165,190,5,0,incendio,1
2012-03-23,spain,1.75,León,SOTO DE LA VEGA,intencionado,1.0,136,188,6,0,incendio,1
2005-05-22,spain,1.0,Albacete,ROBLEDO,accidente,0.0,135,230,9,1,conato,1
2009-08-11,spain,1.52,Córdoba,HORNACHUELOS,rayo,0.0,108,260,46,8,incendio,1
2009-04-09,spain,3.0,Cantabria,CABEZÓN DE LA SAL,intencionado,0.0,70,105,2,0,incendio,1
2001-04-24,spain,7.0,Ávila,BURGOHONDO,intencionado,1.0,570,600,4,0,incendio,1
2013-07-26,spain,7.5,Ciudad Real,HERENCIA,desconocido,0.0,152,253,35,5,incendio,1
2012-10-23,spain,2.0,Asturias,CANGAS DE ONÍS,intencionado,0.0,161,173,3,0,incendio,1
2010-08-14,spain,2.6,León,SOTO Y AMIO,intencionado,0.0,58,328,13,3,incendio,1
2003-08-08,spain,1.0,"Coruña, A",ORDES,intencionado,1.0,115,170,27,2,conato,1
2002-02-16,spain,9.0,Pontevedra,CAMPO LAMEIRO,intencionado,0.0,350,355,13,3,incendio,1
2006-08-04,spain,39.4,Ourense,CUALEDRO,intencionado,1.0,270,435,51,11,incendio,0
2007-11-07,spain,2.0,Cáceres,ALCUÉSCAR,accidente,0.0,180,185,3,0,incendio,1
